verdict,severity,issue_type,root,example_word,langs,current_ja,current_zh,current_ko,recommend_ja,recommend_zh,recommend_ko,reason
confirmed,mid,learning_quality,ism,peon/ism,ja|zh|ko,ism,ism,ism,主義,主义,주의,接尾辞 ism がラテン語のまま未訳で全言語に残っており、「主義/-ism」等に訳すべき。
confirmed,mid,jck_inconsistency,bast,bast,zh|ko,靭皮,棒,막대기,靭皮,韧皮/树皮纤维,인피,basto=「靭皮(樹皮繊維)」でJAは正しいが、ZH「棒」KO「막대기」は bastono(棒)と混同した誤り。
confirmed,mid,mistranslation,pod,a/pod,ja|zh|ko,演壇,讲台,연단,足,足,발,例語 a/pod(=無足の)では pod は「足」の意味だが、訳「演壇/讲台」は別語根 podi(演壇)の意味を当てた誤り(cf 3-131 pod=足)。
confirmed,mid,mistranslation,rod,el/rod/iĝ,ja|zh|ko,錨地,锚地,묘박지,齧る/侵食する,啃蚀/侵蚀,갉다/침식하다,例語 el/rod/iĝ(=侵食され去る)では rodi は「齧る/侵食する」の意味だが、訳は同綴異義の「錨地(roado)」で不一致。
confirmed,mid,mistranslation,nobel,ne/nobel,ja|zh|ko,ノーベル,诺贝尔,노벨,貴族,贵族,귀족,例語 ne/nobel(=非貴族の)が示すとおり nobelo は「貴族」であり、固有名「ノーベル」を当てるのは誤り。
confirmed,mid,mistranslation,kanel,ŝraŭb/in/kanel,ja|zh|ko,シナモン,肉桂,계피,溝/縦溝,凹槽/沟槽,홈,例語 ŝraŭb/in/kanel(=ねじの溝)では kanelo は「溝/縦溝」の意味だが、訳「シナモン(cinamo)」は別語で語義不一致。
confirmed,mid,mistranslation,il,form/i/il,ja|zh|ko,基,基,기,道具/器具,工具/器具,도구/기구,"頻度1159の道具接尾辞 -il(例 gut/ig/il=点滴器, lamp/ŝirm/il=電灯傘)であり中核義は「道具/器具」、「基(化学基)」は誤り。"
confirmed,mid,root_faithfulness,ec,vandal/ec,ja|zh|ko,行為,行为,행위,性質/状態,性质/状态,성질/상태,接尾辞 -ec は「性質/状態」を表す語根(cf 3-55=性質)であり、vandal/ec 全体の「行為」を当てるのは合成義で語根不忠実。
confirmed,mid,jck_inconsistency,ĉiel,ĉiel,ja|zh|ko,空,各种,온갖,あらゆる方法で/どの点でも,无论如何/以各种方式,어떻게든/온갖 방법으로,JAは「空(ĉielo)」だがZH「各种」KO「온갖」は相関詞 ĉiel(あらゆる方法で)寄りで、3言語が別語義に分裂している。
confirmed,mid,jck_inconsistency,fart,fart,ja|zh,暮らす,感觉,건강 상태가 어떻다,(体調が)～である,过得(如何)/健康状况如何,,farti=「(健康・体調が)～である」だが、JA「暮らす」・ZH「感觉(=senti)」がKOの健康状態義とズレて3言語が不揃い。
confirmed,mid,root_faithfulness,buf,akuŝ/buf,ja|zh|ko,助産ヒキガエル,产婆蟾,산파두꺼비,ヒキガエル,蟾蜍,두꺼비,buf 自体は「ヒキガエル」であり、訳の「助産/产婆/산파」の部分は併合語根 akuŝ(出産)由来で、全体語 akuŝ/buf(助産ヒキガエル)の意味を当ててしまっている。
confirmed,mid,root_faithfulness,cist,kole/cist,ja|zh|ko,胆嚢,胆囊,쓸개,膀胱/嚢,膀胱/囊,방광/낭,cist 自体は「膀胱・嚢(cyst)」であり、「胆」の意は併合語根 kole 由来で、全体語 kole/cist(胆嚢)の意味を語根に当ててしまっている。
confirmed,mid,mistranslation,hipo,hipo/tenar,ja|zh|ko,小,小,소,下/低,下/低,하/저,接頭辞 hipo は「下・低・不足」の意味(例 hipo/plazi=発育不全)であり、「小/小/소(小さい)」は不正確で hypo- の中核義とずれている。
confirmed,mid,mistranslation,lin,lin/sem,ja|zh|ko,線,线,선,亜麻,亚麻,아마,lin は『亜麻』(lin/sem=亜麻仁)を意味するのに『線』と訳しており、linio(線)と取り違えた誤訳。
confirmed,mid,root_faithfulness,elektr,elektr/on/mikro/skop,ja|ko,電子,电,전자,電気,,전기,語根 elektr は『電気(の)』で、JA『電子』・KO『전자』は elektr/on(electron)の全体語義を当てており語根忠実でない(ZH『电』は適切)。
confirmed,mid,jck_inconsistency,golf,golf/lud,zh|ko,ゴルフ,海湾,바다에 깊게 들어간 만,,高尔夫,골프,例語 golf/lud はゴルフ競技を指すのに、ZH『海湾』・KO は『湾(gulf)』と訳し JA『ゴルフ』と意味がずれている。
confirmed,mid,mistranslation,palanken,palanken,ko,かご,轿,바구니,,,가마,palanken は『輿(palanquin)』で ZH『轿』は正しいが、KO『바구니』は『籠(basket)』であり誤り。
confirmed,mid,root_faithfulness,etil,etil/ism,ja|zh|ko,アルコール,酒精,알코올,エチル,乙基,에틸,語根 etil は『エチル(基)』で、例語 etil/ism(アルコール依存)全体の義『アルコール』を当てるのは語根忠実でない。
confirmed,mid,root_faithfulness,logi,taŭt/o/logi,ja|zh|ko,反復,反复,반복,論/言,论述,논/말,「-logi」は『学・言説』を表し、taŭt/o/logi(同語反復)の『反復』は taŭt 由来であって logi の語義ではない。
confirmed,mid,root_faithfulness,pod,skaf/o/pod,ja|zh|ko,類,类,류,足,足,발,pod は『足』(skaf/o/pod=掘足類の足)を意味するのに『類(class)』と訳しており、分類接尾の全体機能を当てた誤り。
confirmed,low,root_faithfulness,agrip,agrip/in,ja|zh|ko,アグリッピナ,阿格里庇娜,아그리피나,アグリッパ,阿格里帕,아그리파,「アグリッピナ」は女性形でagrip/in(＋女性-in)の全体語訳であり、語根agrip自身は男性名「アグリッパ」を指す。
confirmed,low,root_faithfulness,ruten,ruten/uj,ja|zh|ko,ルテニア,鲁塞尼亚,루테니아,ルテニア人,鲁塞尼亚人,루테니아인,「ルテニア」は地域名でruten/uj(＋国-uj)の全体語訳であり、語根ruten自身は民族「ルテニア人」を指す。
confirmed,low,malformed,redakt,tekst/o/redakt/il,ko,書く,草拟,문서나 기사를 작성하고 정,編集する/起草する,,문서를 작성·편집하다,KO欄が「…작성하고 정」で途中欠落しており学習補助として不完全（本来は「작성·편집하다」）。
confirmed,low,mistranslation,sklerot,sklerot,ja|zh|ko,強膜菌核,巩膜菌核,공막균핵,,,,「強膜(sclera)」と「菌核(sclerotium)」という無関係な2語義を1語に無理に合成しており、実在しない不整合な複合ルビになっている。
confirmed,low,root_faithfulness,fen,fen/o/tip,zh,表現,表型,표현,,表现,,語根 fen(pheno=現れる/示す)はJA「表現」KO「표현」が適切だが、ZH「表型」は tip(型)まで含んだ全体語 phenotype の訳であり、語根に接尾辞義を取り込んでいる。
confirmed,low,learning_quality,oz,celul/oz,ja|zh|ko,oz,oz,oz,～に富む/-症,富含/-症,풍부/-증,接尾辞 oz(-osus「～に富む」/-osis)がラテン語のまま未訳で全言語に残っており学習上不適切。
confirmed,low,jck_inconsistency,muk,muk/oz,zh,粘液,粘,점액,,黏液,,muk は名詞「粘液(muko)」。JA「粘液」KO「점액」は正しいが、ZH「粘」は形容詞「粘い」で不完全、「黏液」とすべき。
confirmed,low,root_faithfulness,ileks,ileks/kverk,ja|zh|ko,トキワガシ,冬青栎,상록참나무,ヒイラギ/モチノキ属,冬青,호랑가시나무,ileks 単独は「ヒイラギ属(Ilex)」の意だが、全言語が合成語 ileks/kverk(トキワガシ=常緑オーク)の全体義で訳しており語根忠実性に反する。
confirmed,low,malformed,oj-kant,majstr/oj-kant/ist,ja|zh|ko,oj-歌う,oj-唱,oj-노래하다,歌う,唱,노래하다,複数語尾「oj」が語根 kant(歌う)に付いたまま「oj-歌う」とルビ化されており不正形。語根訳は「歌う」のみとすべき。
confirmed,low,malformed,a-komik,hero/a-komik,ja|zh|ko,a-こっけいな,a-可笑,a-우스운,こっけいな,可笑/滑稽,우스운,形容詞語尾「a」が語根 komik(こっけいな)に付いたまま「a-こっけいな」とルビ化されており不正形。語根訳は「こっけいな」のみとすべき。
confirmed,low,learning_quality,pseŭdo,pseŭdo/sufiks,ja,=kaŝ-,伪,가짜,偽/擬似,,,JA欄がエスペラント「=kaŝ-」への参照のみで日本語訳になっておらず、意味(偽/擬似)としても不正確。
confirmed,low,mistranslation,fart,bon/fart,zh,~の健康状態である,感觉,건강 상태가 어떻다,,过得(如何)/健康状况如何,,JA/KOは健康状態義で正しいが、ZH「感觉(feel=senti)」は farti の「(健康が)～である」からズレている。
confirmed,low,root_faithfulness,mars,mars/o/kamp,ja|zh|ko,練兵場,练兵场,연병장,(軍神)マルス,玛尔斯(战神),마르스(군신),例語 mars/o/kamp(=マルスの野)全体が持つ「練兵場」を当てているが、語根 mars 自身は軍神「マルス」。
confirmed,low,jck_inconsistency,bit,bit/et,ko,係柱,缆桩,비트,,,계선주,JA「係柱」ZH「缆桩」は繋船柱の意味だが、KO「비트」は音写のみで係柱の語義を伝えていない。
confirmed,low,jck_inconsistency,koregon,koregon,ko,コクチマス,白鲑,송어,,,백송어류/시스코,JA「コクチマス」ZH「白鲑」はコレゴヌス属(白鮭類)を指すが、KO「송어(マス)」は別属でズレる。
confirmed,low,learning_quality,nov,nov/riĉ/ul,ja|ko,ニュー,新,뉴,新しい,新,새로운,nov は「新しい」で ZH 新 は語義を示すが、JA「ニュー」・KO「뉴」は英語 new の音写にすぎず、学習用ルビとして中核義(新しい/새로운)を伝えていない。
confirmed,low,malformed,sekund,sekund,ja,o 秒,秒,초,秒,,,JA 訳欄が「o 秒」となっており、エスペラント語尾 o が混入した不整形。ZH/KO は「秒/초」で正しく、JA も本来「秒」であるべき。
confirmed,low,root_faithfulness,ko,ko/valent,zh,共有,共价,공유,,共/共同,,ko は接頭辞『共・co-』だが ZH『共价』は ko/valent 全体(共有結合)で価数部分を含み語根忠実でない。
confirmed,low,mistranslation,muslin,muslin,ko,モスリン,薄纱,튈,,,모슬린,muslin(モスリン)は KO で『모슬린』が適切だが、別素材の『튈(チュール)』を当てており誤り。
uncertain,mid,learning_quality,it,komand/it/ant,ja|zh|ko,(合資語根の一部),(合资词根),(합자 어근),受動完了(～された),被动完成,수동완료,高頻度(746)の受動完了分詞 -it- を表す項目にもかかわらず、komandit 特有の「合資語根の一部」という意味を持たないメタ注釈を当てており、学習者に語根義(受動完了)を伝えていない。
rejected,mid,root_faithfulness,oro,oro/genez,ja|zh|ko,金,金,금,山,山,산,例語 oro/genez(=造山運動)では oro は接頭辞「山(oro-)」の意味だが、訳「金」は同綴の別語根で語義不一致。
rejected,mid,root_faithfulness,anti,anti/fon,ja|zh|ko,応,应,응,反対/対,反/抗,반/대항,接頭辞 anti は「反・対抗」の意味だが、訳「応/应/응(応答)」は全体語 anti/fon(交唱=応唱)から派生した合成的意味で、語根本来の意を反映していない。
uncertain,low,learning_quality,it,kred/it/ig,ja|zh|ko,(信用語根の一部),(信贷词根),(신용 어근),,,,訳語ではなく「信用語根の一部」という説明注記のみで、学習用の語義を提供していない。
